player_name,nation_raw,position,club,age,born,nineties,goals,shots,shots_on_target,SoT%,shots_per90,sot_per90,goals_per_shot,goals_per_sot,avg_shot_distance,free_kicks,penalty_goals,penalty_attempts,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,nation_code,season,league,player_key,club_key,position_group,nation,age_pass,nineties_pass,passes_completed_total,passes_attempted_total,pass_completion_total_pct,pass_total_distance,pass_progressive_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,a_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,position_group_pass,age_def,born_def,nineties_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,tackles_vs_dribblers,dribbles_faced,tackle_success_pct,dribbles_lost,blocks,blocks_shots,blocks_passes,interceptions,tackles_plus_interceptions,clearances,errors_leading_to_shot,position_group_def,age_poss,born_poss,nineties_poss,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_attempted,takeons_succeeded,takeons_success_pct,takeons_tackled,takeons_tackled_pct,carries,carries_total_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position_group_poss,player_name_tm,club_tm,position_tm,market_value_eur,market_value_millions,player_name_final,club_final,raw_attacking,raw_progression,raw_creation,raw_defensive,raw_mistakes,z_raw_attacking,z_raw_progression,z_raw_creation,z_raw_defensive,z_raw_mistakes,performance_index,perf_rank_pct,value_rank_pct,undervaluation_delta,valuation_category
Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,USA,2024-25,Premier League,tyler adams,bournemouth,MF,us USA,25.0,21.8,902.0,1069.0,84.4,14322.0,3525.0,437.0,489.0,89.4,393.0,443.0,88.7,38.0,65.0,58.5,3.0,1.0,0.8,2.0,18.0,67.0,4.0,1.0,76.0,MF,25.0,1999.0,21.8,83.0,50.0,26.0,49.0,8.0,39.0,72.0,54.2,33.0,33.0,10.0,23.0,32.0,115.0,42.0,0.0,MF,25.0,1999.0,21.8,1337.0,62.0,349.0,779.0,224.0,18.0,1337.0,18.0,4.0,22.2,10.0,55.6,663.0,3337.0,1447.0,14.0,22.0,1.0,28.0,12.0,757.0,10.0,MF,Tyler Adams,Bournemouth,Defensive Midfield,18000000.0,18.0,Tyler Adams,Bournemouth,0.0734,4.1284,0.1835,8.7156,1.8349,-0.6908131740313302,-0.5798794746716205,-0.13407244206802835,1.0698039294063424,-0.29119152750002514,-0.029,0.4454,0.3277,0.1176,Fair Value
Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0,0,0.9,0.9,0.07,0.1,0.1,ENG,2024-25,Premier League,tosin adarabioyo,chelsea,DF,eng ENG,26.0,15.7,1079.0,1184.0,91.1,19805.0,7144.0,406.0,425.0,95.5,603.0,636.0,94.8,66.0,109.0,60.6,1.0,0.2,0.2,0.8,1.0,62.0,1.0,0.0,42.0,DF,26.0,1997.0,15.7,17.0,13.0,11.0,6.0,0.0,8.0,12.0,66.7,4.0,9.0,7.0,2.0,11.0,28.0,80.0,0.0,DF,26.0,1997.0,15.7,1330.0,175.0,630.0,674.0,27.0,14.0,1330.0,6.0,4.0,66.7,1.0,16.7,777.0,3207.0,1809.0,5.0,2.0,0.0,4.0,0.0,1000.0,1.0,DF,Tosin Adarabioyo,Chelsea,Centre-Back,20000000.0,20.0,Tosin Adarabioyo,Chelsea,0.121,2.9936,0.0764,7.4522,0.2548,-0.5259986928432346,-1.073016276976978,-0.7271697082110232,0.5814232888488894,-1.327203246762263,0.3288,0.3556,0.4515,-0.0959,Fair Value
Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,CIV,2024-25,Premier League,simon adingra,brighton,MF,ci CIV,22.0,12.2,290.0,382.0,75.9,4148.0,820.0,187.0,217.0,86.2,81.0,109.0,74.3,16.0,29.0,55.2,2.0,2.5,2.8,-0.5,16.0,5.0,17.0,6.0,18.0,MF,22.0,2002.0,12.2,23.0,14.0,10.0,8.0,5.0,10.0,26.0,38.5,16.0,12.0,0.0,12.0,8.0,31.0,6.0,2.0,MF,22.0,2002.0,12.2,548.0,10.0,66.0,174.0,315.0,76.0,548.0,50.0,21.0,42.0,27.0,54.0,366.0,2514.0,1300.0,50.0,21.0,27.0,39.0,12.0,388.0,136.0,MF,Simon Adingra,Brighton,Left Winger,28000000.0,28.0,Simon Adingra,Brighton,0.3689,5.5738,0.3689,4.0164,4.1803,0.33167809786166347,0.048195362165724,0.8928962362718212,-0.7467700829169224,1.2466556410041052,-0.0838,0.3613,0.5168,-0.1555,Overvalued
Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,CIV,2024-25,Premier League,emmanuel agbadou,wolves,DF,ci CIV,27.0,15.7,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.0,0.2,0.3,-0.2,4.0,40.0,1.0,0.0,31.0,DF,27.0,1997.0,15.7,30.0,19.0,21.0,9.0,0.0,13.0,20.0,65.0,7.0,19.0,13.0,6.0,12.0,42.0,90.0,0.0,DF,27.0,1997.0,15.7,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,13.0,10.0,76.9,2.0,15.4,758.0,3670.0,1752.0,6.0,4.0,0.0,6.0,4.0,796.0,2.0,DF,Emmanuel Agbadou,Wolves,Centre-Back,20000000.0,20.0,Emmanuel Agbadou,Wolves,0.1146,2.3567,0.0127,9.6178,0.6369,-0.5480413657874094,-1.3498026387240636,-1.080049631844137,1.4185827032364577,-1.0766294063785709,0.8031,0.7481,0.4515,0.2967,Undervalued
Ola Aina,ng NGA,DF,Nottm Forest,27.0,1996.0,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4,NGA,2024-25,Premier League,ola aina,nottm forest,DF,ng NGA,27.0,33.3,994.0,1352.0,73.5,15371.0,6297.0,530.0,598.0,88.6,374.0,502.0,74.5,57.0,166.0,34.3,1.0,1.4,2.2,-0.4,16.0,85.0,23.0,11.0,107.0,DF,27.0,1996.0,33.3,55.0,42.0,39.0,15.0,1.0,36.0,64.0,56.3,28.0,34.0,12.0,22.0,33.0,88.0,115.0,4.0,DF,27.0,1996.0,33.3,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,72.0,33.0,45.8,27.0,37.5,749.0,4798.0,2787.0,67.0,46.0,10.0,44.0,22.0,823.0,67.0,DF,Ola Aina,Nottm Forest,Right-Back,22000000.0,22.0,Ola Aina,Nottm Forest,0.0781,5.2252,0.0721,7.1171,1.982,-0.6746047011305388,-0.10326658253155906,-0.7513308561354526,0.45187874777778736,-0.1947298840671977,0.2536,0.2889,0.4888,-0.1999,Overvalued
Rayan Aït-Nouri,dz ALG,DF,Wolves,23.0,2001.0,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,ALG,2024-25,Premier League,rayan ait-nouri,wolves,DF,dz ALG,23.0,34.5,1449.0,1721.0,84.2,19837.0,5926.0,897.0,959.0,93.5,435.0,499.0,87.2,48.0,118.0,40.7,7.0,5.5,4.0,1.5,46.0,77.0,30.0,10.0,108.0,DF,23.0,2001.0,34.5,89.0,57.0,52.0,28.0,9.0,43.0,70.0,61.4,27.0,42.0,6.0,36.0,26.0,115.0,75.0,2.0,DF,23.0,2001.0,34.5,2148.0,96.0,577.0,916.0,685.0,96.0,2148.0,137.0,63.0,46.0,56.0,40.9,1129.0,6166.0,3205.0,89.0,62.0,28.0,52.0,47.0,1321.0,176.0,DF,Rayan Aït-Nouri,Wolves,Left-Back,35000000.0,35.0,Rayan Aït-Nouri,Wolves,0.1942,5.7101,0.3623,6.7246,2.8696,-0.27273157530494846,0.1074574988916061,0.8566985867045612,0.3001577089595965,0.38723023215282515,0.2027,0.2593,0.7612,-0.5019,Overvalued
Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,NOR,2024-25,Premier League,kristoffer ajer,brentford,DF,no NOR,26.0,16.0,504.0,644.0,78.3,7868.0,2831.0,260.0,299.0,87.0,199.0,248.0,80.2,27.0,54.0,50.0,0.0,1.2,0.5,-1.2,8.0,44.0,7.0,4.0,56.0,DF,26.0,1998.0,16.0,26.0,18.0,14.0,11.0,1.0,14.0,27.0,51.9,13.0,17.0,4.0,13.0,12.0,38.0,50.0,0.0,DF,26.0,1998.0,16.0,795.0,53.0,265.0,368.0,168.0,38.0,795.0,16.0,7.0,43.8,8.0,50.0,387.0,2098.0,1180.0,27.0,11.0,2.0,15.0,12.0,491.0,44.0,DF,Kristoffer Ajer,Brentford,Centre-Back,16000000.0,16.0,Kristoffer Ajer,Brentford,0.0625,5.1875,0.075,6.5625,1.6875,-0.7285157505178401,-0.11966025223436078,-0.7351095064927684,0.23748003679811439,-0.3878123597404837,0.1273,0.1926,0.3881,-0.1955,Overvalued
Manuel Akanji,ch SUI,DF,Man City,29.0,1995.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,14.7,0,0,0,1.6,1.6,0.1,-1.6,-1.6,SUI,2024-25,Premier League,manuel akanji,man city,DF,ch SUI,29.0,22.4,1632.0,1744.0,93.6,27046.0,7578.0,776.0,812.0,95.6,757.0,795.0,95.2,84.0,113.0,74.3,0.0,0.4,1.3,-0.4,9.0,177.0,11.0,2.0,158.0,DF,29.0,1995.0,22.4,19.0,12.0,12.0,4.0,3.0,11.0,17.0,64.7,6.0,11.0,8.0,3.0,9.0,28.0,64.0,3.0,DF,29.0,1995.0,22.4,1881.0,119.0,559.0,920.0,405.0,19.0,1881.0,2.0,2.0,100.0,0.0,0.0,1254.0,6953.0,4234.0,46.0,64.0,0.0,5.0,5.0,1483.0,7.0,DF,Manuel Akanji,Man City,Centre-Back,28000000.0,28.0,Manuel Akanji,Man City,0.0714,9.1071,0.0179,4.5982,0.4464,-0.6976166464800236,1.5836385344347794,-1.0516932094093332,-0.5218552093401893,-1.2015434488317507,0.0442,0.1407,0.6604,-0.5197,Overvalued
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,23.6,3,0,0,1.9,1.9,0.04,1.1,1.1,ENG,2024-25,Premier League,trent alexander-arnold,liverpool,DF,eng ENG,25.0,26.3,1448.0,1971.0,73.5,27901.0,11363.0,632.0,704.0,89.8,589.0,771.0,76.4,203.0,418.0,48.6,6.0,7.3,7.4,-1.3,52.0,207.0,65.0,20.0,232.0,DF,25.0,1998.0,26.3,72.0,50.0,44.0,19.0,9.0,49.0,105.0,46.7,56.0,26.0,9.0,17.0,31.0,103.0,55.0,4.0,DF,25.0,1998.0,26.3,2253.0,88.0,593.0,1014.0,660.0,44.0,2253.0,37.0,17.0,45.9,17.0,45.9,1184.0,5358.0,2860.0,51.0,36.0,9.0,19.0,15.0,1436.0,94.0,DF,Trent Alexander-Arnold,Liverpool,Right-Back,75000000.0,75.0,Trent Alexander-Arnold,Liverpool,0.1863,10.7605,0.5057,6.9962,1.2928,-0.30004034205427976,2.3020934649351994,1.651079967225076,0.4051348547970224,-0.6466205598899534,0.9086,0.8296,0.9776,-0.148,Fair Value
Edson Álvarez,mx MEX,MF,West Ham,26.0,1997.0,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,MEX,2024-25,Premier League,edson alvarez,west ham,MF,mx MEX,26.0,19.7,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,1.0,0.8,0.9,0.2,12.0,92.0,12.0,3.0,85.0,MF,26.0,1997.0,19.7,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,MF,26.0,1997.0,19.7,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,24.0,22.0,2.0,27.0,15.0,830.0,18.0,MF,Edson Álvarez,West Ham,Defensive Midfield,25000000.0,25.0,Edson Álvarez,West Ham,0.0203,5.533,0.0914,6.9543,2.132,-0.8745414655391958,0.030476152039066964,-0.6444130966787905,0.38894411623663877,-0.09638115093509142,-0.1699,0.2941,0.4622,-0.1681,Overvalued
